43599      '63,1266'   14.05.2019
43600      '63,2333'   15.05.2019
43601      '63,1154'   16.05.2019
43602      '62,9677'   17.05.2019
43603      '62,4951'   18.05.2019
43604      '61,737'    19.05.2019
43605      '62,3559'   20.05.2019
43606      '62,2673'   21.05.2019
43607      '62,5553'   22.05.2019
43608      '62,3227'   23.05.2019
43609      '62,5927'   24.05.2019
43610      '62,9669'   25.05.2019
43611      '63,6649'   26.05.2019
43612      '63,5093'   27.05.2019
43613      '63,0689'   28.05.2019
43614      '63,3094'   29.05.2019
43615      '62,8188'   30.05.2019
43616      '62,9533'   31.05.2019
43617      '62,7967'   01.06.2019
43618      '62,2518'   02.06.2019
43619      '62,5078'   03.06.2019
43620      '63,0369'   04.06.2019
43621      '63,3833'   05.06.2019
43622      '63,3389'   06.06.2019
43623      '63,7398'   07.06.2019
43624      '63,5012'   08.06.2019
43625      '65,549'    09.06.2019
43626      '66,6899'   10.06.2019
43627      '67,7061'   11.06.2019
43628      '67,8125'   12.06.2019
43629      '66,337'    13.06.2019
